add another song to the cita romántica playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN cita romántica CLOSEplaylist
rate mimi and the biscuit factory  5 out of 6	RateBook object_nameOPEN mimi and the biscuit factory CLOSEobject_name rating_valueOPEN 5 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate varney the vampire with 1  points	RateBook object_nameOPEN varney the vampire CLOSEobject_name rating_valueOPEN 1 CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate the doors of perception  3  stars	RateBook object_nameOPEN the doors of perception CLOSEobject_name rating_valueOPEN 3 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
give 4  stars to this  essay	RateBook rating_valueOPEN 4 CLOSErating_value rating_unitOPEN stars CLOSErating_unit object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type
rate the current  textbook  five of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN five CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
the series  city on fire is a four	RateBook object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type object_nameOPEN city on fire CLOSEobject_name rating_valueOPEN four CLOSErating_value
rate the why is sex fun?  saga  two of 6	RateBook object_nameOPEN why is sex fun? CLOSEobject_name object_part_of_series_typeOPEN saga CLOSEobject_part_of_series_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i want to give panther in the basement  four  points	RateBook object_nameOPEN panther in the basement CLOSEobject_name rating_valueOPEN four CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate the book  the ninth avatar  3 out of 6  stars	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN the ninth avatar CLOSEobject_name rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
give love in the time of foreclosure  4 of 6	RateBook object_nameOPEN love in the time of foreclosure CLOSEobject_name rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the current  textbook  four out of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i would rate the persistence of vision  1  stars and a best rating of 6	RateBook object_nameOPEN the persistence of vision CLOSEobject_name rating_valueOPEN 1 CLOSErating_value rating_unitOPEN stars CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
give this current  book  zero out of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i want to rate a long short war  series a four out of 6 .	RateBook object_nameOPEN a long short war CLOSEobject_name object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give physics of the impossible  four  points .	RateBook object_nameOPEN physics of the impossible CLOSEobject_name rating_valueOPEN four CLOSErating_value rating_unitOPEN points CLOSErating_unit
i want to give this  album  4  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 4 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
add rating of 5 to this  novel	RateBook rating_valueOPEN 5 CLOSErating_value object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type
rate this  album  one  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN one CLOSErating_value rating_unitOPEN stars CLOSErating_unit
for the book  the sting of the scorpion i give three of a possiable 6 rating	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN the sting of the scorpion CLOSEobject_name rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the rogue lawyer  4 out of 6	RateBook object_nameOPEN rogue lawyer CLOSEobject_name rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give three  points out of 6 to one hundred poems of tukaram	RateBook rating_valueOPEN three CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating object_nameOPEN one hundred poems of tukaram CLOSEobject_name
i want to give elephants can remember  4 out of 6  points	RateBook object_nameOPEN elephants can remember CLOSEobject_name rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
rate this  album  three of 6  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
rate this is how you die  chronicle a one	RateBook object_nameOPEN this is how you die CLOSEobject_name object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN one CLOSErating_value
rate the book  giants of the frost  two out of 6  points	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN giants of the frost CLOSEobject_name rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
i think this  textbook should have a rating of four and a best rating of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i give this  novel a 0 out of 6 rating	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give zero  points to this  essay	RateBook rating_valueOPEN zero CLOSErating_value rating_unitOPEN points CLOSErating_unit object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type
rate this  book  3  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 3 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
i would like to rate this  album  3  points and a best rating of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 3 CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
rate the current  album  5 out of 6  points	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 5 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
give power of faerûn  two of 6	RateBook object_nameOPEN power of faerûn CLOSEobject_name rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate this  album  2  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 2 CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate the current  chronicle  0 of 6  stars	RateBook object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate this  essay a two out of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate this current  essay  1 out of 6  points	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
give this  book  chronicle  four  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN four CLOSErating_value rating_unitOPEN stars CLOSErating_unit
rate this  essay  five  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN five CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate this  essay  five  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN five CLOSErating_value rating_unitOPEN stars CLOSErating_unit
give this  textbook a 5 out of 6 rating	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN 5 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the philosophic thought of ayn rand  three of 6  stars	RateBook object_nameOPEN the philosophic thought of ayn rand CLOSEobject_name rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
give the whisperer a rating of 0 .	RateBook object_nameOPEN the whisperer CLOSEobject_name rating_valueOPEN 0 CLOSErating_value
can you rate this  novel as a four ?	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN four CLOSErating_value
rate the last  textbook  three  stars	RateBook object_selectOPEN last CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN three CLOSErating_value rating_unitOPEN stars CLOSErating_unit
please rate think like a freak  3  points out of 6 .	RateBook object_nameOPEN think like a freak CLOSEobject_name rating_valueOPEN 3 CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
the current  book i'm reading should be rated zero out of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i give the battle of bretton woods  saga  two of 6  stars	RateBook object_nameOPEN the battle of bretton woods CLOSEobject_name object_part_of_series_typeOPEN saga CLOSEobject_part_of_series_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate this  album  0  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 0 CLOSErating_value rating_unitOPEN points CLOSErating_unit
give five out of 6  stars to current  essay	RateBook rating_valueOPEN five CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit object_selectOPEN current CLOSEobject_select object_typeOPEN essay CLOSEobject_type
this  saga is definitely worth 4  stars .	RateBook object_selectOPEN this CLOSEobject_select object_part_of_series_typeOPEN saga CLOSEobject_part_of_series_type rating_valueOPEN 4 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
gve 2  points to the stinky cheese man and other fairly stupid tales	RateBook rating_valueOPEN 2 CLOSErating_value rating_unitOPEN points CLOSErating_unit object_nameOPEN the stinky cheese man and other fairly stupid tales CLOSEobject_name
give the crisis , one / 6  points	RateBook object_nameOPEN the crisis CLOSEobject_name rating_valueOPEN one CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
i gave chart throb  4 of 6  stars	RateBook object_nameOPEN chart throb CLOSEobject_name rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate this book called kings of the high frontier  four  points	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN kings of the high frontier CLOSEobject_name rating_valueOPEN four CLOSErating_value rating_unitOPEN points CLOSErating_unit
give this  book a rating of two out of 6 .	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i give this  album a 0 of 6  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
i want to rate the selected letters of h. p. lovecraft i  saga  3  stars	RateBook object_nameOPEN selected letters of h. p. lovecraft i CLOSEobject_name object_part_of_series_typeOPEN saga CLOSEobject_part_of_series_type rating_valueOPEN 3 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
rate the current  album a 3 .	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 3 CLOSErating_value
rate the book  series  i, robot  one out of 6  stars	RateBook object_typeOPEN book CLOSEobject_type object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type object_nameOPEN i, robot CLOSEobject_name rating_valueOPEN one CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
i give this current  textbook  five  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN five CLOSErating_value rating_unitOPEN stars CLOSErating_unit
this  chronicle gets a three out of 6 .	RateBook object_selectOPEN this CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give this  novel  two  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN two CLOSErating_value rating_unitOPEN points CLOSErating_unit
give one out of 6  points to current  series	RateBook rating_valueOPEN one CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type
rate this  textbook  two out of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
for the textbook , out of 6 possible i give the following one a 3 .	RateBook object_typeOPEN textbook CLOSEobject_type best_ratingOPEN 6 CLOSEbest_rating object_selectOPEN following CLOSEobject_select rating_valueOPEN 3 CLOSErating_value
rate this  textbook  1 of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the current  series a zero	RateBook object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type rating_valueOPEN zero CLOSErating_value
rate the detective a 3 out of 6	RateBook object_nameOPEN the detective CLOSEobject_name rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give 0  points to the hand in the glove	RateBook rating_valueOPEN 0 CLOSErating_value rating_unitOPEN points CLOSErating_unit object_nameOPEN the hand in the glove CLOSEobject_name
rate this  novel a 1 of 6 for me	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i give this  essay  0 of 6  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate this  album  3 out of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the last opium den  0  points	RateBook object_nameOPEN the last opium den CLOSEobject_name rating_valueOPEN 0 CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate the current  essay  2  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN 2 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
give the current  series a one .	RateBook object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type rating_valueOPEN one CLOSErating_value
give the current part of the series  1  points .	RateBook object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type rating_valueOPEN 1 CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate in search of our origins  two  points out of 6 .	RateBook object_nameOPEN in search of our origins CLOSEobject_name rating_valueOPEN two CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
rate this book  the book of snobs  1  points	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN the book of snobs CLOSEobject_name rating_valueOPEN 1 CLOSErating_value rating_unitOPEN points CLOSErating_unit
give the racing the rain  saga  zero  stars	RateBook object_nameOPEN racing the rain CLOSEobject_name object_part_of_series_typeOPEN saga CLOSEobject_part_of_series_type rating_valueOPEN zero CLOSErating_value rating_unitOPEN stars CLOSErating_unit
programming the universe is average and deserves three  stars out of 6 .	RateBook object_nameOPEN programming the universe CLOSEobject_name rating_valueOPEN three CLOSErating_value rating_unitOPEN stars CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
for this  series i give the rating of four of 6  stars	RateBook object_selectOPEN this CLOSEobject_select object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
i think this  book should have a rating value of 1 and a best rating of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i would rate the door to december  3  points and a best rating of 6	RateBook object_nameOPEN the door to december CLOSEobject_name rating_valueOPEN 3 CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
this  textbook only gets two out of 6  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
i rate the current  textbook a 0 of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give this  book  1  stars .	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 1 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
give this  book  zero  stars	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value rating_unitOPEN stars CLOSErating_unit
i am giving paedophilia: the radical case a rating of 2 out of 6  points	RateBook object_nameOPEN paedophilia: the radical case CLOSEobject_name rating_valueOPEN 2 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
put a rating of 0 out of 6 to this  chronicle	RateBook rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating object_selectOPEN this CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type
give 0 to the sky village	RateBook rating_valueOPEN 0 CLOSErating_value object_nameOPEN the sky village CLOSEobject_name
i give a rating of 2 to the book swine not?	RateBook rating_valueOPEN 2 CLOSErating_value object_nameOPEN swine not? CLOSEobject_name
four out of 6  stars for the previous  essay	RateBook rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit object_selectOPEN previous CLOSEobject_select object_typeOPEN essay CLOSEobject_type
add five  stars to my current  chronicle	RateBook rating_valueOPEN five CLOSErating_value rating_unitOPEN stars CLOSErating_unit object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type
i want to rate the medici seal  two out of 6  points	RateBook object_nameOPEN the medici seal CLOSEobject_name rating_valueOPEN two CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
i would give this current  novel  2  stars with a best rating of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN 2 CLOSErating_value rating_unitOPEN stars CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
rate the current  book a zero .	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value
give the fox and the hound a 1	RateBook object_nameOPEN the fox and the hound CLOSEobject_name rating_valueOPEN 1 CLOSErating_value
give 4 out of 6  stars to current  chronicle	RateBook rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type
five  points for this  novel	RateBook rating_valueOPEN five CLOSErating_value rating_unitOPEN points CLOSErating_unit object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type
rate the broke: who killed the middle classes?  chronicle a five	RateBook object_nameOPEN broke: who killed the middle classes? CLOSEobject_name object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN five CLOSErating_value
rate this  novel  five  points	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN five CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate gray mountain a zero	RateBook object_nameOPEN gray mountain CLOSEobject_name rating_valueOPEN zero CLOSErating_value
rate this  essay  four out of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i would rate oblivion: stories a two	RateBook object_nameOPEN oblivion: stories CLOSEobject_name rating_valueOPEN two CLOSErating_value
the last  essay is a 2 out of 6	RateBook object_selectOPEN last CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN 2 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
i gave the current  chronicle a 3 of 6	RateBook object_selectOPEN current CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
the battle for skies gets a three	RateBook object_nameOPEN the battle for skies CLOSEobject_name rating_valueOPEN three CLOSErating_value
i would give the series  history decoded: the 10 greatest conspiracies of all time a rating of 3  points	RateBook object_part_of_series_typeOPEN series CLOSEobject_part_of_series_type object_nameOPEN history decoded: the 10 greatest conspiracies of all time CLOSEobject_name rating_valueOPEN 3 CLOSErating_value rating_unitOPEN points CLOSErating_unit
rate political liberalism  1 out 6  stars	RateBook object_nameOPEN political liberalism CLOSEobject_name rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
please rate the current  album  4  stars .	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 4 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
give this  chronicle  4  stars	RateBook object_selectOPEN this CLOSEobject_select object_part_of_series_typeOPEN chronicle CLOSEobject_part_of_series_type rating_valueOPEN 4 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
rate the previous  essay  four of 6  points	RateBook object_selectOPEN previous CLOSEobject_select object_typeOPEN essay CLOSEobject_type rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
i want to give the first person and other stories  0 out of 6  stars	RateBook object_nameOPEN the first person and other stories CLOSEobject_name rating_valueOPEN 0 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate the current  album  2  points out of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN album CLOSEobject_type rating_valueOPEN 2 CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
rate the book  the egoist  five out of 6	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN the egoist CLOSEobject_name rating_valueOPEN five CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give 1 out of 6  points for collected works	RateBook rating_valueOPEN 1 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit object_nameOPEN collected works CLOSEobject_name
rate this  book a zero	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value
rate the current  book  0  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 0 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
rate winnie-the-pooh  four out of 6	RateBook object_nameOPEN winnie-the-pooh CLOSEobject_name rating_valueOPEN four CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the man from the ussr and other plays a 0	RateBook object_nameOPEN the man from the ussr and other plays CLOSEobject_name rating_valueOPEN 0 CLOSErating_value
give this  book a rating of 3 out of 6  points .	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
rate the book  oath of swords  three for 6	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN oath of swords CLOSEobject_name rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the strange death of tory england  1  stars	RateBook object_nameOPEN the strange death of tory england CLOSEobject_name rating_valueOPEN 1 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
i am giving the current  book  two  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN two CLOSErating_value rating_unitOPEN stars CLOSErating_unit
rate first man: the life of neil a. armstrong  three of 6	RateBook object_nameOPEN first man: the life of neil a. armstrong CLOSEobject_name rating_valueOPEN three CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate secret weapon a four	RateBook object_nameOPEN secret weapon CLOSEobject_name rating_valueOPEN four CLOSErating_value
rate the current  book  zero of 6  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN zero CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate the current  textbook  4 of 6  points	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN textbook CLOSEobject_type rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit
rate a division of the spoils  5  stars	RateBook object_nameOPEN a division of the spoils CLOSEobject_name rating_valueOPEN 5 CLOSErating_value rating_unitOPEN stars CLOSErating_unit
i would rate this  book a value of 3 and a best rating of 6	RateBook object_selectOPEN this CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
rate the book  strumpet city  zero for 6	RateBook object_typeOPEN book CLOSEobject_type object_nameOPEN strumpet city CLOSEobject_name rating_valueOPEN zero CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating
give five  points to an ice-cream war	RateBook rating_valueOPEN five CLOSErating_value rating_unitOPEN points CLOSErating_unit object_nameOPEN an ice-cream war CLOSEobject_name
give 3 out of 6  points to the secrets of love	RateBook rating_valueOPEN 3 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit object_nameOPEN the secrets of love CLOSEobject_name
give the current  novel  4 of 6  stars	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN novel CLOSEobject_type rating_valueOPEN 4 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN stars CLOSErating_unit
rate renewable electricity and the grid  one  stars out of 6	RateBook object_nameOPEN renewable electricity and the grid CLOSEobject_name rating_valueOPEN one CLOSErating_value rating_unitOPEN stars CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
rate my current  book  five  points out of 6	RateBook object_selectOPEN current CLOSEobject_select object_typeOPEN book CLOSEobject_type rating_valueOPEN five CLOSErating_value rating_unitOPEN points CLOSErating_unit best_ratingOPEN 6 CLOSEbest_rating
give jackass investing a three	RateBook object_nameOPEN jackass investing CLOSEobject_name rating_valueOPEN three CLOSErating_value
rate 5 out of 6  points to my favorite fantasy story	RateBook rating_valueOPEN 5 CLOSErating_value best_ratingOPEN 6 CLOSEbest_rating rating_unitOPEN points CLOSErating_unit object_nameOPEN my favorite fantasy story CLOSEobject_name
